bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1092878,773916,2018-08-30,Assembly,"SB 1305 Glazer Senate Third Reading By BAKER",80,0,0,0,80
1092878,774115,2018-08-31,Senate,"Unfinished Business SB1305 Glazer et al. Concurrence",39,0,1,0,40
1092878,774553,2018-04-24,Senate,?,9,0,0,0,9
1092910,733237,2018-04-03,Senate,"Do pass and be ordered to the Consent Calendar",6,0,1,0,7
1092910,735627,2018-04-09,Senate,"Consent Calendar SB1289 JUD. (Jackson)",39,0,0,0,39
1092910,762216,2018-06-12,Assembly,"Do pass. To Consent Calendar",9,0,1,0,10
1092910,764301,2018-06-18,Assembly,"SB 1289 JUD. Consent Calendar Second Day Regular Session",80,0,0,0,80
1092918,733803,2018-04-04,Senate,"Do pass, but first be re-referred to the Committee on [Judiciary]",2,3,1,0,6
1092918,733804,2018-04-04,Senate,"[First] hearing set for [04-04-2018]: Failed passage in Committee. Reconsideration granted",6,0,0,0,6
1092920,750706,2018-05-08,Assembly,"Do pass as amended",10,0,0,0,10
1092920,754221,2018-05-17,Assembly,"AB 3217 BERMAN Assembly Third Reading",71,0,7,0,78
1092922,743468,2018-04-24,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",15,0,0,0,15
1092922,756607,2018-05-25,Assembly,"Do pass as amended",12,0,5,0,17
1092922,757831,2018-05-30,Assembly,"AB 3218 ARAMBULA Assembly Third Reading",78,0,0,0,78
1092922,768564,2018-06-26,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1092922,770406,2018-08-06,Senate,"Placed on suspense file",7,0,0,0,7
1092922,772036,2018-08-16,Senate,"Do pass",7,0,0,0,7
1092922,773131,2018-08-28,Senate,"Assembly 3rd Reading AB3218 Arambula By Cannella",39,0,1,0,40
1092924,742222,2018-04-23,Senate,"Do pass, but first be re-referred to the Committee on [Appropriations]",6,0,3,0,9
1092924,755371,2018-05-22,Senate,"Do pass as amended",5,1,1,0,7
